AS,Ct.BV,Ct.TV,Ct.BV/TV,Ct.Ar,Tt.Ar,Ct.Ar/Tt.Ar,Ct.BS,Ct.BS/TV,Ct.Th,Ct.Po,Ct.Po(closed),Ct.Po(open),Po.V,Po.V(closed),Po.V(open),Po.N,Po.N(closed),Po.N(open),Po.Dn,Po.Dn(closed),Po.Dn(open),Ma.Ar,Ps.Pm,Es.Pm,Ct.vBMD,Ct.vBMD.SD
1579,0.4813,0.4816,99.93,0.9436,0.9443,99.93,6.962,14.46,0.2169,0.06873,0,0.06873,0.000331,0,0.000331,201,0,201,417.4,0,417.4,1.153,5.499,4.144,1414.05,178.581
1580,0.5742,0.5746,99.93,1.126,1.127,99.93,7.493,13.04,0.2602,0.07188,0,0.07188,0.000413,0,0.000413,221,0,221,384.6,0,384.6,1.19,5.797,4.156,1432.126,169.177
1581,0.6,0.6009,99.85,1.176,1.178,99.85,9.104,15.15,0.2077,0.1486,0,0.1486,0.000893,0,0.000893,291,0,291,484.3,0,484.3,2.066,6.96,5.713,1366.424,170.941
1582,0.528,0.5288,99.84,1.035,1.037,99.84,8.079,15.28,0.2106,0.1568,0,0.1568,0.000829,0,0.000829,248,0,248,469,0,469,1.578,6.301,4.991,1384.926,185.146
1583,0.5941,0.5945,99.94,1.165,1.166,99.94,8.524,14.34,0.2288,0.06375,0,0.06375,0.000379,0,0.000379,235,0,235,395.3,0,395.3,1.721,6.525,5.116,1393.445,175.19
1584,0.5335,0.534,99.9,1.046,1.047,99.9,8.323,15.59,0.2005,0.09569,0,0.09569,0.000511,0,0.000511,242,0,242,453.2,0,453.2,1.763,6.474,5.285,1349.162,168.371
1586,0.5715,0.5718,99.95,1.121,1.121,99.95,8.329,14.57,0.2174,0.05142,0,0.05142,0.000294,0,0.000294,211,0,211,369,0,369,1.737,6.42,5.12,1356.715,191.572
1587,0.5807,0.5813,99.9,1.139,1.14,99.9,7.955,13.69,0.2374,0.1017,0,0.1017,0.000591,0,0.000591,214,0,214,368.1,0,368.1,1.369,6.105,4.563,1408.214,168.377
1630,0.5647,0.5652,99.91,1.107,1.108,99.91,8.397,14.86,0.2227,0.09059,0,0.09059,0.000512,0,0.000512,263,0,263,465.4,0,465.4,1.752,6.505,5.179,1399.749,173.042
1631,0.5831,0.5834,99.94,1.143,1.144,99.94,8.63,14.79,0.2185,0.06153,0,0.06153,0.000359,0,0.000359,215,0,215,368.5,0,368.5,1.811,6.673,5.29,1393.773,173.522
1632,0.4663,0.4675,99.72,0.9142,0.9168,99.72,7.884,16.86,0.1871,0.2763,0,0.2763,0.001292,0,0.001292,269,0,269,575.3,0,575.3,1.69,6.143,5.196,1381.67,179.355
1633,0.5058,0.5062,99.93,0.9917,0.9925,99.93,7.361,14.54,0.2173,0.07389,0,0.07389,0.000374,0,0.000374,223,0,223,440.6,0,440.6,1.295,5.742,4.435,1398.613,187.891
1690,0.5047,0.505,99.93,0.9895,0.9902,99.93,7.971,15.78,0.1887,0.07208,0,0.07208,0.000364,0,0.000364,242,0,242,479.2,0,479.2,1.653,6.27,5.074,1370,174.805
1691,0.5758,0.5791,99.43,1.129,1.136,99.43,8.228,14.21,0.2298,0.5715,0.1528,0.4187,0.00331,0.000885,0.002425,236,1,235,407.5,1.727,405.8,1.441,6.241,4.78,1382.539,188.52
1692,0.4763,0.4771,99.84,0.9339,0.9355,99.84,7.188,15.07,0.207,0.1627,0,0.1627,0.000776,0,0.000776,212,0,212,444.4,0,444.4,1.256,5.654,4.379,1402.411,172.465
1693,0.4175,0.4179,99.91,0.8187,0.8194,99.91,6.764,16.19,0.1815,0.09069,0,0.09069,0.000379,0,0.000379,181,0,181,433.1,0,433.1,1.229,5.439,4.302,1388.276,178.981
1694,0.5385,0.5389,99.93,1.056,1.057,99.93,7.551,14.01,0.2272,0.07033,0,0.07033,0.000379,0,0.000379,180,0,180,334,0,334,1.288,5.858,4.463,1429.813,174.21
1695,0.4896,0.4899,99.94,0.9599,0.9605,99.94,7.124,14.54,0.2205,0.0641,0,0.0641,0.000314,0,0.000314,179,0,179,365.4,0,365.4,1.206,5.588,4.283,1414.979,174.07
1696,0.5089,0.5092,99.92,0.9978,0.9985,99.92,8.014,15.74,0.1965,0.07717,0,0.07717,0.000393,0,0.000393,242,0,242,475.2,0,475.2,1.67,6.325,5.076,1372.004,171.553
1733,0.5743,0.5746,99.95,1.126,1.127,99.95,8.134,14.16,0.2205,0.04925,0,0.04925,0.000283,0,0.000283,193,0,193,335.9,0,335.9,1.586,6.297,4.898,1254.936,219.18
1734,0.4896,0.4899,99.94,0.96,0.9606,99.94,7.47,15.25,0.201,0.06328,0,0.06328,0.00031,0,0.00031,193,0,193,394,0,394,1.441,5.898,4.614,1394.804,179.445
1735,0.4916,0.4919,99.94,0.9639,0.9644,99.94,7.446,15.14,0.209,0.05754,0,0.05754,0.000283,0,0.000283,173,0,173,351.7,0,351.7,1.387,5.879,4.586,1405.415,170.136
1736,0.4691,0.4694,99.94,0.9198,0.9204,99.94,7.048,15.01,0.207,0.06306,0,0.06306,0.000296,0,0.000296,217,0,217,462.3,0,462.3,1.232,5.555,4.296,1394.018,178.291
1843,0.6074,0.6079,99.92,1.191,1.192,99.92,8.717,14.34,0.2259,0.07682,0,0.07682,0.000467,0,0.000467,278,0,278,457.3,0,457.3,1.765,6.653,5.288,1392.2,172.274
1844,0.5558,0.5563,99.91,1.09,1.091,99.91,8.035,14.44,0.2179,0.0906,0,0.0906,0.000504,0,0.000504,225,0,225,404.5,0,404.5,1.474,6.245,4.814,1395.027,175.977
1845,0.6186,0.6191,99.93,1.213,1.214,99.93,8.388,13.55,0.2454,0.06849,0,0.06849,0.000424,0,0.000424,259,0,259,418.4,0,418.4,1.485,6.401,4.904,1403.401,169.482
1846,0.4951,0.4954,99.94,0.9709,0.9714,99.94,7.32,14.77,0.2096,0.06035,0,0.06035,0.000299,0,0.000299,163,0,163,329,0,329,1.317,5.744,4.455,1412.899,180.931
1847,0.4605,0.4731,97.33,0.9029,0.9276,97.33,8.632,18.25,0.178,2.666,0.00148,2.664,0.01261,0.000007,0.01261,367,2,365,775.8,4.228,771.5,1.745,6.309,5.346,1334.097,213.343
1848,0.4929,0.4931,99.94,0.9664,0.967,99.94,7.858,15.93,0.1933,0.05901,0,0.05901,0.000291,0,0.000291,182,0,182,369.1,0,369.1,1.583,6.191,5.008,1392.991,176.18
