AS,Ct.BV,Ct.TV,Ct.BV/TV,Ct.Ar,Tt.Ar,Ct.Ar/Tt.Ar,Ct.BS,Ct.BS/TV,Ct.Th,Ct.Po,Ct.Po(closed),Ct.Po(open),Po.V,Po.V(closed),Po.V(open),Po.N,Po.N(closed),Po.N(open),Po.Dn,Po.Dn(closed),Po.Dn(open),Ma.Ar,Ps.Pm,Es.Pm,Ct.vBMD,Ct.vBMD.SD,Tb.BV,Tb.TV,Tb.BV/TV,Tb.BS,Tb.BS/TV,Tb.Th,Tb.Sp,Tb.N
1579,0.8476,0.8687,97.57,0.8392,0.8601,97.57,16.3,18.76,0.1609,2.429,0.08231,2.346,0.0211,0.000715,0.02038,999,21,978,1150,24.18,1126,1.932,6.815,5.784,1217.705,198.431,0.02026,1.952,1.038,2.497,1.28,0.046,0.6901,1.358
1580,0.9369,0.9512,98.5,0.9277,0.9418,98.5,15.73,16.54,0.1796,1.498,0.2915,1.207,0.01425,0.002773,0.01148,1074,21,1053,1129,22.08,1107,1.839,6.732,5.669,1276.598,196.604,0.01522,1.857,0.8194,2.377,1.28,0.05077,0.6769,1.374
1581,1.128,1.134,99.44,1.117,1.123,99.44,19.9,17.55,0.1498,0.5589,0.1438,0.4151,0.00634,0.001631,0.004709,1386,15,1371,1222,13.22,1209,3.152,8.678,7.785,1204.056,167.989,0.04568,3.184,1.435,4.455,1.399,0.05356,0.6079,1.512
1582,0.7653,0.8611,88.87,0.7577,0.8526,88.87,22.13,25.7,0.1247,11.13,0.05621,11.07,0.09581,0.000484,0.09532,1539,15,1524,1787,17.42,1770,3.016,7.909,7.501,1074.426,197.079,0.1316,3.047,4.32,14.76,4.844,0.03005,0.4137,2.254
1583,0.9431,0.9522,99.04,0.9337,0.9428,99.04,18.54,19.47,0.1354,0.9623,0.008191,0.9541,0.009163,0.000078,0.009085,1420,5,1415,1491,5.251,1486,2.956,7.956,7.345,1215.38,172.955,0.1066,2.986,3.571,7.887,2.642,0.05382,0.4925,1.83
1584,1.015,1.02,99.56,1.005,1.01,99.56,19.1,18.73,0.1381,0.4411,0.03539,0.4057,0.004499,0.000361,0.004138,1314,4,1310,1288,3.922,1284,3.005,8.305,7.629,1198.634,158.423,0.102,3.035,3.361,6.83,2.25,0.05597,0.6202,1.479
1585,1.099,1.122,97.95,1.088,1.111,97.95,21.1,18.81,0.1501,2.049,0.2048,1.844,0.02299,0.002298,0.02069,1482,7,1475,1321,6.239,1315,3.34,8.738,7.968,1195.582,168.597,0.1064,3.374,3.153,9.091,2.695,0.0436,0.5116,1.801
1586,1.135,1.147,98.95,1.124,1.136,98.95,19.58,17.07,0.1601,1.055,0.2706,0.7839,0.0121,0.003104,0.008991,1141,10,1131,994.8,8.719,986.1,3.041,8.331,7.507,1192.476,180.651,0.05346,3.071,1.741,4.528,1.474,0.05761,0.8239,1.134
1587,0.9383,0.9479,98.99,0.929,0.9385,98.99,16.98,17.91,0.1527,1.015,0.006541,1.008,0.009618,0.000062,0.009556,1091,1,1090,1151,1.055,1150,2.221,7.342,6.432,1279.06,223.873,0.04918,2.243,2.192,3.893,1.735,0.06474,0.6913,1.323
1630,0.9607,0.9686,99.19,0.9512,0.959,99.19,18.59,19.2,0.1378,0.8119,0.09385,0.718,0.007864,0.000909,0.006955,1270,3,1267,1311,3.097,1308,3.11,8.089,7.349,1213.966,167.671,0.08493,3.141,2.704,8.376,2.667,0.03551,0.4391,2.107
