Animal ID,AS,Sex,Treatment
JQ10.L1,1579,Female,AP
JQ10.2,1580,Female,AP
JQ11.2,1581,Male,AP
JQ11.3,1582,Male,AP
JQ15.1,1583,Male,AP
JQ15.2,1584,Male,AP
JQ15.2.2,1585,Male,AP
JQ15.3,1586,Male,AP
JQ18.4,1587,Female,AP
JQ19.3,1630,Male,AP
JQ19.4,1631,Male,Vehicle
JQ24.2,1632,Female,AP
JQ24.2.2,1633,Female,Vehicle
JQ24.4,1634,Female,Vehicle
JQ32.1,1690,Male,AP
JQ32.4,1691,Male,Vehicle
JQ33.2,1692,Female,Vehicle
JQ33.2.2,1693,Female,Vehicle
JQ33.4,1694,Female,Vehicle
JQ33.5,1695,Female,Vehicle
JQ35.3,1696,Male,Vehicle
JQ37.2,1733,Male,Vehicle
JQ38.L1,1734,Female,AP
JQ38.2,1735,Female,AP
JQ38.5,1736,Female,Vehicle
JQ39.3,1843,Male,AP
JQ39.2.2,1844,Male,AP
JQ39.5,1845,Male,Vehicle
JQ40.2.2,1846,Female,Vehicle
JQ43.1,1847,Male,AP
JQ43.L1,1848,Male,AP
JQ43.2,1849,Male,Vehicle
JQ46.1,1850,Female,AP
JQ46.3,1851,Female,Vehicle
JQ49.3,1852,Male,AP
JQ49.5,1853,Male,Vehicle
JQ50.2,1854,Female,AP
JQ50.3,1855,Female,Vehicle
JQ50.5,1856,Female,Vehicle
JQ51.5,1967,Male,Vehicle
JQ52.3,1968,Female,Vehicle
JQ55.5,1969,Male,Vehicle
JQ56.3,1970,Female,AP
JQ56.4,1971,Female,AP
JQ58.2.2,1972,Female,Vehicle
JQ58.4,1973,Female,Vehicle
JQ62.2,2061,Female,Vehicle
JQ63.3,2062,Male,Vehicle
JQ63.L3,2054,Male,AP
JQ63.4,2055,Male,AP
JQ66.4,2056,Female,AP
JQ67.1,2063,Male,Vehicle
JQ68.2,2057,Female,AP
JQ68.4,2064,Female,Vehicle
JQ70.1,2058,Male,AP
JQ70.2,2065,Male,Vehicle
JQ71.5,2059,Female,AP
JQ75.4.4,2067,Male,Vehicle
JQ75.5,2060,Male,AP
JQ79.4,2250,Male,AP
JQ80.4,2251,Female,AP
JQ80.4.4,2252,Female,AP
JQ81.1,2247,Male,Vehicle
JQ81.3,2253,Male,AP
JQ81.2-2,2254,Male,AP
JQ85.1,2248,Male,Vehicle
JQ85.2,2249,Male,Vehicle
JQ88.2,2255,Female,AP
