AS,Tb.BV,Tb.TV,Tb.BV/TV,Tb.BS,Tb.BS/TV,Tb.Th,Tb.Sp,Tb.N
1579,0.4514,2.415,18.69,32.08,13.28,0.03202,0.2522,3.518
1580,0.5409,2.504,21.6,28.93,11.55,0.04502,0.2923,2.965
1581,0.2144,2.708,7.917,16.36,6.042,0.03725,0.3289,2.731
1582,0.3558,2.786,12.77,24.65,8.845,0.03625,0.2727,3.236
1583,0.4205,2.514,16.73,25.93,10.31,0.04401,0.2496,3.405
1584,0.2149,2.677,8.025,16.03,5.988,0.03893,0.3341,2.681
1585,0.4547,3.17,14.35,29.58,9.332,0.03966,0.2472,3.486
1586,0.2185,2.396,9.12,16.55,6.907,0.03732,0.2988,2.975
1587,0.7058,2.887,24.45,36.11,12.51,0.05262,0.244,3.371
1630,0.4102,3.182,12.89,29.03,9.124,0.03665,0.2639,3.328
1631,0.4033,3.235,12.47,26.14,8.082,0.04125,0.2951,2.973
1632,0.3002,2.546,11.79,21.93,8.615,0.03285,0.2924,3.075
1633,0.4162,2.645,15.74,25.57,9.669,0.04375,0.3205,2.746
1634,0.4738,2.629,18.02,24.71,9.402,0.0517,0.3114,2.754
1690,0.2971,2.429,12.23,21.32,8.777,0.03704,0.2553,3.421
1691,0.3461,2.654,13.04,22.77,8.576,0.04145,0.2791,3.119
1692,0.1933,2.678,7.219,14.24,5.315,0.03804,0.4628,1.997
1693,0.1067,2.138,4.989,8.3,3.882,0.03701,0.4691,1.976
1694,0.2609,2.006,13.01,18.34,9.14,0.0378,0.2954,3.001
1695,0.2408,2.512,9.587,15.91,6.335,0.04141,0.4384,2.084
1696,0.2608,2.491,10.47,19.6,7.869,0.03476,0.2812,3.165
1733,0.3892,2.644,14.72,26.05,9.853,0.04246,0.2493,3.428
1734,0.2713,2.543,10.67,18.68,7.345,0.0425,0.4467,2.044
1735,0.1837,2.314,7.94,12.06,5.212,0.04618,0.4795,1.902
1736,0.2073,2.486,8.339,14.05,5.652,0.04307,0.474,1.934
1843,0.3192,3.046,10.48,23.73,7.793,0.0375,0.2977,2.983
1844,0.4945,2.609,18.95,27.84,10.67,0.04743,0.2323,3.575
1845,0.4652,2.806,16.58,29.11,10.37,0.04339,0.2306,3.65
1846,0.2419,2.655,9.11,16.45,6.193,0.04327,0.4464,2.042
1847,0.3289,2.819,11.67,23.62,8.379,0.03672,0.2816,3.142
1848,0.2488,2.452,10.15,21.11,8.61,0.03167,0.2563,3.472
1849,0.2055,2.169,9.475,15.96,7.357,0.03491,0.2875,3.102
1850,0.2674,3.012,8.876,17.19,5.708,0.04585,0.4269,2.115
1851,0.3348,2.684,12.47,20.39,7.598,0.0454,0.35,2.529
1852,0.2374,2.189,10.85,18.12,8.279,0.03463,0.2654,3.333
1853,0.303,2.702,11.21,23.18,8.578,0.03511,0.2962,3.018
1854,0.2651,2.471,10.73,18.05,7.305,0.03826,0.4156,2.203
1855,0.3879,2.889,13.42,28.12,9.732,0.03724,0.3651,2.485
1856,0.2304,2.169,10.62,16.81,7.748,0.03825,0.3843,2.367
1967,0.3149,2.848,11.06,26.1,9.165,0.03006,0.2664,3.373
1968,0.4693,3.079,15.24,27.54,8.945,0.04239,0.3424,2.599
1969,0.3564,2.909,12.25,27.06,9.302,0.03186,0.2558,3.476
1970,0.351,3.076,11.41,21.91,7.123,0.04478,0.412,2.189
1971,0.3113,2.707,11.5,20.83,7.696,0.03943,0.4182,2.185
1972,0.4397,2.889,15.22,27.94,9.671,0.03953,0.3191,2.789
1973,0.7865,2.919,26.95,37.9,12.98,0.05092,0.2696,3.12
2054,0.2308,2.518,9.168,16.72,6.641,0.04058,0.3699,2.436
2055,0.3356,2.761,12.16,22.32,8.085,0.03975,0.2833,3.096
2056,0.2984,2.444,12.21,17.55,7.179,0.04606,0.397,2.257
2057,0.2544,2.124,11.98,15.37,7.238,0.04832,0.34,2.575
2058,0.2143,2.874,7.457,15.49,5.391,0.04114,0.3247,2.733
2059,0.2509,2.542,9.871,14.6,5.742,0.05,0.461,1.957
2060,0.2843,2.389,11.9,17.84,7.466,0.04487,0.3092,2.824
2061,0.2922,2.737,10.68,17.71,6.47,0.04249,0.4665,1.965
2062,0.3108,2.616,11.88,22.12,8.457,0.0393,0.2847,3.086
2063,0.2814,2.436,11.55,18.1,7.431,0.04381,0.2991,2.916
2064,0.2575,2.738,9.404,15.39,5.62,0.04884,0.4372,2.058
2065,0.2989,3.241,9.223,19.47,6.009,0.0463,0.3546,2.494
2067,0.3208,3.196,10.04,18.8,5.881,0.05365,0.4122,2.147
2247,0.4165,2.643,15.76,25.9,9.798,0.04265,0.2477,3.444
2248,0.267,2.691,9.922,20.69,7.688,0.03479,0.3042,2.95
2249,0.304,2.572,11.82,23.8,9.255,0.03455,0.2449,3.578
2250,0.275,2.585,10.64,20.17,7.803,0.03427,0.2829,3.153
2251,0.2874,2.442,11.77,17.56,7.191,0.04689,0.4206,2.139
2252,0.3257,2.81,11.59,18.71,6.661,0.0547,0.4209,2.103
2253,0.2664,2.881,9.244,19.72,6.845,0.03824,0.2881,3.064
2254,0.157,2.499,6.281,12.79,5.117,0.03847,0.4491,2.051
2255,0.3054,2.772,11.02,17.81,6.426,0.05125,0.4363,2.051
